	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
spreadGlottis:-	p	t	c	k	4/4	1.0
spreadGlottis:+	pʰ	tʰ			2/4	0.5916007119613603
	2/2	2/2	1/2	1/2
	1.0	1.0	0.8871014901798872	0.8673472869000212
