	labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0;round:0 | labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0	labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,+;front:+;round:0	labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+;round:0	labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	count	markedness_count
periodicGlottalSource:+	ð					1/5	0.4753542603569147
periodicGlottalSource:-	s	ʃ	sʲ	ɕ	x	5/5	1.0
	2/2	1/2	1/2	1/2	1/2
	1.0	0.784333365145307	0.7847122750657736	0.7181571519887248	0.702580939132563
