	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:+;coronal:-;dorsal:-;front:0;round:-,+	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:-;coronal:-;dorsal:+;front:-;round:0	labial:-;coronal:-;dorsal:+;front:-,+;round:0	labial:-,+;coronal:-;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+			tʼ	kʼ	kʲʼ	kʷʼ	4/6	0.7917354727680073
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	bʷ	d	ɡ	ɡʲ	ɡʷ	6/6	1.0
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	pʷ	t	k	kʲ	kʷ	6/6	1.0
	2/3	2/3	3/3	3/3	3/3	3/3
	0.9273775259163678	0.8259002302905686	1.0	1.0	1.0	1.0
