p͈	t̪͈	t͈	ʈ͈	ȶ͈	k͈	6/6	1.0
p͉		t͉	ʈ͉	ȶ͉	k͉	5/6	0.9366568284905828
β	ð		ʐ	ʑ		4/6	0.7609111695891076
3/3	2/3	2/3	3/3	3/3	2/3
1.0	0.3214388864930646	0.9934654055794713	1.0	1.0	0.9428320198784872
