	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t	kp	k	4/4	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	b	d	ɡb	ɡ	4/4	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	ŋmɡb		3/4	0.6653984686738285
	3/3	3/3	3/3	2/3
	1.0	1.0	1.0	0.9776461952673208
