	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	v		ʁ	2/3	0.5116339842519897
periodicGlottalSource:-		s		1/3	0.6244675448355381
	1/2	1/2	1/2
	0.33747892892306774	0.7903072196662834	0.29522793278914716
