	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive			d̠ʒ		1/4	0.07420276663090691
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s	ʃ	x	3/4	0.8154992171479808
periodicGlottalSource:-;category:affricate|plosive	p	t	t̠ʃ	k	4/4	1.0
	1/3	2/3	3/3	2/3
	0.544875253379786	0.7923741209382917	1.0	0.7522848451355145
