	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:-;coronal:-;dorsal:+;front:-	labial:-;coronal:-;dorsal:+;front:-,+	count	markedness_count
periodicGlottalSource:+	b	d	ɡ	ɡʲ	4/4	1.0
periodicGlottalSource:-	p	t	k	kʲ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
