	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;high:+;front:+;back:- | labial:-;labiodental:0;coronal:+;strident:0,-,+;anterior:+;distributed:0,-,+;dorsal:0,-,+;high:+;front:+;back:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-	count	markedness_count
spreadGlottis:-;DEVOICED:+;category:affricate|plosive	b̥	d̥	d̥z̥	d̥ʒ̊	ɖ̥ʐ̥	ɡ̊	ɢ̥	d̥ʑ̥	8/8	1.0
periodicGlottalSource:-;spreadGlottis:+;category:fricative		-	ʰsʰ				-		1/6	0.8610292589991081
periodicGlottalSource:+;spreadGlottis:-;category:fricative	v								1/8	0.27412368636833756
spreadGlottis:+;category:plosive | spreadGlottis:+;category:affricate | spreadGlottis:+,-,+;category:plosive | spreadGlottis:+,-,+;category:affricate	ʰpʰ	ʰtʰ	ʰtsʰ	ʰt̠ʃʰ	ʰʈʂʰ	ʰkʰ	ʰqʰ	ʰtɕʰ	8/8	1.0
periodicGlottalSource:-;spreadGlottis:-;DEVOICED:+;category:fricative | periodicGlottalSource:-;spreadGlottis:-;DEVOICED:-;category:fricative | periodicGlottalSource:+,-;spreadGlottis:-;DEVOICED:-;sonorant:+,-;nasal:+,-;category:fricative	f		z̥		ʂ	x	χ	ɕ	6/8	0.7371966064653026
	4/5	2/4	4/5	2/5	3/5	3/5	3/4	3/5
	0.9995173892581766	0.5666534417716296	0.8124909826252932	0.19316043824501203	0.8271695888000342	0.8462662994986849	0.7768145544178532	0.7905061251690526
