	labiodental:0;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;strident:+;anterior:-;distributed:-;dorsal:-;round:0	labiodental:0;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;round:0 | labiodental:0;strident:0,-,+;anterior:+;distributed:0,-,+;dorsal:0,-,+;round:0	count	markedness_count
spreadGlottis:+ | spreadGlottis:+,-,+	ʰtsʰ	ʰt̠ʃʰ	ʰʈʂʰ	ʰtɕʰ	4/4	1.0
spreadGlottis:-;DEVOICED:+	d̥z̥	d̥ʒ̊	ɖ̥ʐ̥	d̥ʑ̥	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
