	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
spreadGlottis:-;DEVOICED:+	b̥	d̥	ɡ̊	ɢ̥	4/4	1.0
spreadGlottis:+	ʰpʰ	ʰtʰ	ʰkʰ	ʰqʰ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
