	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0;strident:+	labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:+		ʰsʰ			-	1/4	0.8936246551965112
periodicGlottalSource:+;spreadGlottis:-	v					1/5	0.2644110484714159
periodicGlottalSource:-;spreadGlottis:-;DEVOICED:+		z̥	-		-	1/3	0.8492783697430452
periodicGlottalSource:-;spreadGlottis:-;DEVOICED:-	f	ʂ	ɕ	x	χ	5/5	1.0
	2/4	3/4	1/3	1/4	1/2
	0.9991804133852825	0.7870335260090324	0.7095867775982755	0.7050704930126831	0.6958683155352414
