	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	tʼ	kʼ	qʼ	4/4	1.0
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	d	ɡ	ɢ	4/4	1.0
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	k	q	4/4	1.0
	3/3	3/3	3/3	3/3
	1.0	1.0	1.0	1.0
