	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d̻	d̠ʒ	ɖ	ɡ	5/5	1.0
periodicGlottalSource:+;spreadGlottis:+;category:affricate|plosive	b̤	d̻̤	d̠̤ʒ̤	ɖ̤	ɡ̤	5/5	1.0
periodicGlottalSource:+;category:fricative		z				1/5	0.2953096498404566
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t̻	t̠ʃ	ʈ	k	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s	ʃ	ʂ		4/5	0.7934438140782246
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̻ʰ	t̠ʃʰ	ʈʰ	kʰ	5/5	1.0
	5/6	6/6	5/6	5/6	4/6
	0.9244881103961414	1.0	0.9236299312927462	0.9387263152290182	0.8227533916849792
