	labial:+;coronal:-;strident:0;dorsal:-	labial:-;coronal:+;strident:-;dorsal:-	labial:-;coronal:+;strident:+;dorsal:-	labial:-;coronal:-;strident:0;dorsal:+	count	markedness_count
spreadGlottis:-;category:affricate|plosive	p	t	ts	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s		1/4	0.5481265971825239
spreadGlottis:+;category:affricate|plosive	pʰ	tʰ	tsʰ	kʰ	4/4	1.0
	2/3	2/3	3/3	2/3
	0.8419869567962608	0.9485325403578682	1.0	0.869994619047213
