	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d		ɟʝ	ɡ	4/5	0.8870617626967229
periodicGlottalSource:+;category:fricative			z			1/5	0.40725630007787195
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t	ts	cç	k	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s	ç		2/5	0.5476687464384393
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	tʰ			kʰ	3/5	0.7541085205358331
	3/5	3/5	3/5	3/5	3/5
	0.7751802075349559	0.9025973360187686	0.8268056902780867	0.8623919473908702	0.8191459656681378
