	d	ɟ	ɡ	3/4	0.673081475792362
mb	nd	ɲɟ	ŋɡ	4/4	1.0
pʰ	tʰ	cʰ	kʰ	4/4	1.0
m̤pʰ	n̤tʰ	ɲ̤cʰ	ŋ̤kʰ	4/4	1.0
3/4	4/4	4/4	4/4
0.2964917663765353	1.0	1.0	1.0
