	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-		f	s	ʃ	3/4	0.9443585837020305
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-	β	v	z		3/4	0.8147838683830166
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-	-	ɱv	nz		2/3	0.9972321670327026
periodicGlottalSource:+,-;spreadGlottis:+,-;sonorant:+,-;nasal:+,- | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-	-	ɱ̤f	n̤s	n̠ʃ	3/3	1.0
	1/2	4/4	4/4	2/4
	0.5491241232692962	1.0	1.0	0.7845578114728222
