	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-		d	ɟ	ɡ	3/4	0.673081475792362
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-	mb	nd	ɲɟ	ŋɡ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-	pʰ	tʰ	cʰ	kʰ	4/4	1.0
periodicGlottalSource:+,-;spreadGlottis:+;sonorant:+,-;nasal:+,-	m̤pʰ	n̤tʰ	ɲ̤cʰ	ŋ̤kʰ	4/4	1.0
	3/4	4/4	4/4	4/4
	0.2964917663765353	1.0	1.0	1.0
