	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	tʼ	kʼ	qʼ	4/4	1.0
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b				1/4	0.31458715780328533
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	k	q	4/4	1.0
	3/3	2/3	2/3	2/3
	1.0	0.7020037344278643	0.6968970516944704	0.8781096831786427
