	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-	ts	t̠ʃ	2/2	1.0
constrictedGlottis:+;raisedLarynxEjective:+		t̠ʃʼ	1/2	0.44671388382761446
	1/2	2/2
	0.7814082896751873	1.0
