	labiodental:0;coronal:+;dorsal:-;high:0;back:0;round:0	labiodental:0;coronal:-;dorsal:+;high:+;back:-;round:0	labiodental:0;coronal:-;dorsal:+;high:-;back:+;round:0	count	markedness_count
periodicGlottalSource:+		ɣ		1/3	0.21682703665904052
periodicGlottalSource:-	s	x	χ	3/3	1.0
	1/2	2/2	1/2
	0.7903072196662834	1.0	0.6958683155352414
