	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:+;coronal:-;dorsal:-,+;front:+ | labial:+;coronal:-;dorsal:-,-,+;front:+	labial:-;coronal:+;dorsal:-,+;front:+ | labial:-;coronal:+;dorsal:-,-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	labial:-;coronal:-;dorsal:+;front:-,+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-	p	t	pʲ		k	kʲ	5/6	0.9956438899294088
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-	pʰ	tʰ		tʲʰ	kʰ		4/6	0.9430594886585484
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-	mb	nd	mbʲ	ndʲ	ŋɡ		5/6	0.9206518679672293
	3/3	3/3	2/3	2/3	3/3	1/3
	1.0	1.0	0.8352911678731946	0.4975573597385926	1.0	0.44835504329226294
