	labial:-;coronal:+;dorsal:-;front:0	labial:+;coronal:-;dorsal:-,+;front:+	labial:-;coronal:+;dorsal:-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	labial:-;coronal:-;dorsal:+;front:-,+	count	markedness_count
periodicGlottalSource:+		βʲ				1/5	0.008436524132947822
periodicGlottalSource:-	s	ɸʲ	sʲ	x	xʲ	5/5	1.0
	1/2	2/2	1/2	1/2	1/2
	0.7903072196662834	1.0	0.7372011299119555	0.6984718085432419	0.7613290727810489
