	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	b		ɡ		2/4	0.6380916375068595
periodicGlottalSource:-	p	t	k	kʷ	4/4	1.0
	2/2	1/2	2/2	1/2
	1.0	0.6982137273139257	1.0	0.8209037735575385
