	labial:+;coronal:-;strident:0;dorsal:-;round:-	labial:-;coronal:+;strident:-;dorsal:-;round:0 | labial:-;coronal:+;strident:+;dorsal:-;round:0 | labial:-;coronal:+;strident:-,+;dorsal:-;round:0 | labial:-;coronal:+;strident:+;dorsal:-;round:0;distributed:- | labial:-;coronal:+;strident:+;dorsal:-;round:0;distributed:+ | labial:-;coronal:+;strident:+;dorsal:-;round:0;anterior:+;distributed:+	labial:-;coronal:-;strident:0;dorsal:+;round:0 | labial:-;coronal:+;strident:+;dorsal:+;round:0;anterior:+;distributed:+;front:+ | labial:-;coronal:+;strident:-;dorsal:+;round:0;anterior:-;distributed:+;front:+ | labial:-;coronal:+;strident:+;dorsal:-,+;round:0;anterior:-;distributed:+;high:+;low:-;front:+;back:-	labial:-,+;coronal:-;strident:0;dorsal:+;round:+ | labial:-,-,+;coronal:-;strident:0;dorsal:+;round:+ | labial:-,+;coronal:+;strident:-;dorsal:+;round:+;anterior:-;distributed:+;front:+ | labial:-,-,+;coronal:+;strident:-;dorsal:+;round:+;anterior:-;distributed:+;front:+ | labial:-,+;coronal:+;strident:+;dorsal:-;round:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0 | labial:-,-,+;coronal:+;strident:+;dorsal:-;round:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+;category:plosive	b		ɡ		2/4	0.6380916375068595
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t	k	kʷ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s			1/4	0.7339450659929354
	2/3	2/3	2/3	1/3
	0.8428091894130566	0.8429406464033786	0.8666930494111134	0.6311478029109631
