	labial:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0;round:-	labial:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0;round:-,+ | labial:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0;round:-,-,+ | labial:+;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;anterior:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-,+;anterior:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0;round:0;distributed:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0;round:0;distributed:- | labial:-;coronal:+;strident:+;anterior:+;dorsal:-;front:0;round:0;distributed:+ | labial:-;coronal:+;strident:-;anterior:-;dorsal:-;front:0;round:0;lateral:-;distributed:-	labial:-,+;coronal:+;strident:-;anterior:+;dorsal:-;front:0;round:+ | labial:-,-,+;coronal:+;strident:-;anterior:+;dorsal:-;front:0;round:+ | labial:-,+;coronal:+;strident:+;anterior:+;dorsal:-;front:0;round:+;distributed:0 | labial:-,-,+;coronal:+;strident:+;anterior:+;dorsal:-;front:0;round:+;distributed:0 | labial:-,+;coronal:+;strident:+;anterior:+;dorsal:-;front:0;round:+;distributed:- | labial:-,-,+;coronal:+;strident:+;anterior:+;dorsal:-;front:0;round:+;distributed:- | labial:-,+;coronal:+;strident:-;anterior:-;dorsal:-;front:0;round:+;lateral:-;distributed:- | labial:-,-,+;coronal:+;strident:-;anterior:-;dorsal:-;front:0;round:+;lateral:-;distributed:-	labial:-;coronal:-;strident:0;anterior:0;dorsal:+;front:-;round:0	labial:-;coronal:-;strident:0;anterior:0;dorsal:+;front:-,+;round:0 | labial:-;coronal:-;strident:0;anterior:0;dorsal:+;front:0,-,+;round:0 | labial:-;coronal:-;strident:0;anterior:0;dorsal:+;front:-,-,+;round:0 | labial:-;coronal:+;strident:+;anterior:+;dorsal:+;front:+;round:0;distributed:+ | labial:-;coronal:+;strident:-;anterior:-;dorsal:+;front:+;round:0;distributed:+ | labial:-;coronal:+;strident:+;anterior:-;dorsal:-,+;front:+;round:0;distributed:+;high:+;low:-;back:- | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-,+;anterior:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:-;dorsal:-;front:0;round:0;distributed:+;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:+;category:plosive	b	bʷ	d̪|d				3/6	0.6592644019084704
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	pʷ	t̪|t	t̪ʷ|tʷ	k	kʲ	6/6	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s̪|s			ʃ	2/6	0.7683741602844973
	2/3	2/3	3/3	1/3	1/3	2/3
	0.8428091894130566	0.7289755866213674	1.0	0.6499578999226727	0.6423792360201864	0.8479009954858756
