	labial:+;coronal:-;distributed:0;dorsal:-;front:0;round:-	labial:+;coronal:-;distributed:0;dorsal:-;front:0;round:-,+	labial:-;coronal:+;distributed:0;dorsal:-;front:0;round:0	labial:-,+;coronal:+;distributed:0;dorsal:-;front:0;round:+	labial:-;coronal:-;distributed:0;dorsal:+;front:-;round:0	labial:-;coronal:-;distributed:0;dorsal:+;front:-,+;round:0	count	markedness_count
periodicGlottalSource:+	b	bʷ	d̪|d				3/6	0.5003246745272025
periodicGlottalSource:-	p	pʷ	t̪|t	t̪ʷ|tʷ	k	kʲ	6/6	1.0
	2/2	2/2	2/2	1/2	1/2	1/2
	1.0	1.0	1.0	0.8392843481658993	0.7407770089337997	0.5585281024015436
