	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	z̻	ʐ	ʑ	4/4	1.0
periodicGlottalSource:-	f	s̻	ʂ	ɕ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
