	labiodental:0;strident:+;anterior:+;distributed:+;dorsal:-;round:0	labiodental:0;strident:+;anterior:-;distributed:-;dorsal:-;round:0	labiodental:0;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+		ɖʐ	dʑ	2/3	0.1262622311760982
periodicGlottalSource:-	t̻s̪̻	ʈʂ	tɕ	3/3	1.0
	1/2	2/2	2/2
	0.789113004174212	1.0	1.0
