	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-,+	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+	v	z̪		ʒ	ɣ	ʕ	5/6	0.7531181690524418
periodicGlottalSource:-	f	s̪	sˤ	ʃ	x	ħ	6/6	1.0
	2/2	2/2	1/2	2/2	2/2	2/2
	1.0	1.0	0.805421533834534	1.0	1.0	1.0
