	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:- | labial:+;labiodental:+,-;coronal:-;strident:0;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:-;distributed:0 | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:-;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:-;anterior:+;distributed:+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:-;high:0;front:0;back:0;epilaryngealSource:+;retractedTongueRoot:-,+ | labial:-;labiodental:0;coronal:-;strident:0;dorsal:-;high:0;front:0;back:0;epilaryngealSource:+;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;high:+;front:-;back:-;epilaryngealSource:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;high:+;front:+;back:-;epilaryngealSource:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;high:+;front:+;back:-;epilaryngealSource:-;retractedTongueRoot:-;anterior:+;distributed:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;high:+;front:+;back:-;epilaryngealSource:-;retractedTongueRoot:-;anterior:-;distributed:+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;high:-;front:-;back:+;epilaryngealSource:-;retractedTongueRoot:-,+ | labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;high:-;front:-;back:+;epilaryngealSource:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;high:-;front:-;back:+;epilaryngealSource:-;retractedTongueRoot:+;low:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	t̪	ʡˤ	k	qˤ	5/5	1.0
periodicGlottalSource:+;category:fricative	v		-	ɣ		2/4	0.43315889377269845
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			-	ɕ		1/4	0.13891091680111445
	2/3	1/3	1/1	3/3	1/3
	0.7363713158520908	0.41618014889723504	1.0	1.0	0.40241300275614367
