	t	t̠ʃ	k	3/4	0.7886486289101822
b	d	dz	ɡ	4/4	1.0
β			ɣ	2/4	0.5179806591948745
mb	nd	ndz	ŋɡ	4/4	1.0
ɸ		s		2/4	0.6996540208688139
4/5	3/5	4/5	4/5
0.5023524670092449	0.9024938219897998	0.8944317134960973	0.8741872554799034
