	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d					2/6	0.5724501842893513
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s	ʃ	ʂ		3/6	0.5160654849487412
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	t̠ʃ		k	5/6	0.9807615277872722
	2/3	2/3	2/3	2/3	1/3	1/3
	0.8421922259973105	0.9259297106463319	0.9200950182478003	0.8300249876283463	0.4407177900486543	0.6227784394032676
