	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d		ɖ		ɟʝ	ɡ	5/7	0.887356109318641
periodicGlottalSource:+;category:fricative			z		ʐ	ʝ	ɣ	4/7	0.6435469727905634
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t	ts	ʈ	ʈʂ	cç	k	7/7	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s			ç	x	3/7	0.6545938103967601
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	tʰ	tsʰ	ʈʰ	ʈʂʰ	cçʰ	kʰ	7/7	1.0
	3/5	3/5	4/5	3/5	3/5	5/5	5/5
	0.7751802075349559	0.890458081361146	0.8972189055740503	0.9496237466911986	0.5186000276603754	1.0	1.0
