	labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0;round:0	labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:0	labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	count	markedness_count
periodicGlottalSource:+	z	ʐ	ʝ	ɣ	4/4	1.0
periodicGlottalSource:-	s		ç	x	3/4	0.9208645937292959
	2/2	1/2	2/2	2/2
	1.0	0.2147655977957604	1.0	1.0
