	labiodental:0;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:+;anterior:-;distributed:-;dorsal:-;round:0	labiodental:0;strident:-;anterior:-;distributed:+;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-			ɟʝ	1/3	0.05829801442978306
periodicGlottalSource:-;spreadGlottis:-	ts	ʈʂ	cç	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+	tsʰ	ʈʂʰ	cçʰ	3/3	1.0
	2/3	2/3	3/3
	0.7941905013013291	0.8451641999113811	1.0
