		ɟʝ	1/3	0.05829801442978306
ts	ʈʂ	cç	3/3	1.0
tsʰ	ʈʂʰ	cçʰ	3/3	1.0
2/3	2/3	3/3
0.7941905013013291	0.8451641999113811	1.0
