	labiodental:0;coronal:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labiodental:0;coronal:-;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:-	labiodental:0;coronal:-;dorsal:+;high:-;low:+;back:+;round:0;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+	z			1/3	0.6720112919267914
periodicGlottalSource:-	s	x	ħ	3/3	1.0
	2/2	1/2	1/2
	1.0	0.7050685747392957	0.7233606974850547
