	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:+		z	ʐ		ʁ	3/5	0.7071779967714737
periodicGlottalSource:-	f	s	ʂ	ɕ	χ	5/5	1.0
	1/2	2/2	2/2	1/2	2/2
	0.6625450972908989	1.0	1.0	0.7181571519887248	1.0
