	labiodental:0;strident:+;anterior:+;distributed:+;dorsal:-;round:0	labiodental:0;strident:+;anterior:-;distributed:-;dorsal:-;round:0	labiodental:0;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	d̪z̪	ɖʐ	dʑ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-	t̪s̪	ʈʂ	tɕ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+ | periodicGlottalSource:-;spreadGlottis:-,+	t̪s̪ʰ	ʈʂʰ	tɕʰ	3/3	1.0
	3/3	3/3	3/3
	1.0	1.0	1.0
