	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;high:+;front:+;back:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d̪	d̪z̪	ɖʐ	ɡ		dʑ	6/7	0.9808185445836947
periodicGlottalSource:+;category:fricative			z	ʐ		ʁ		3/7	0.4972495362679433
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t̪	t̪s̪	ʈʂ	k	q	tɕ	7/7	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʂ		χ	ɕ	5/7	0.8188482823173513
periodicGlottalSource:-;spreadGlottis:+;category:plosive | periodicGlottalSource:-;spreadGlottis:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;category:affricate	pʰ	t̪ʰ	t̪s̪ʰ	ʈʂʰ	kʰ	qʰ	tɕʰ	7/7	1.0
	4/5	3/5	5/5	5/5	3/5	4/5	4/5
	0.9241384514224245	0.8321446021172987	1.0	1.0	0.8719765773999031	0.9290030978869216	0.9080640700998206
