	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;high:+;low:-;front:+;back:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0;retractedTongueRoot:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-;back:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-;back:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:affricate|plosive	b		d	ɖ	dʑ	ɡb	ɡ		6/8	0.9543669967496775
periodicGlottalSource:+;loweredLarynxImplosive:+;category:affricate|plosive	ɓ	-	ɗ		-	-		-	2/4	0.7759691541802941
periodicGlottalSource:+;category:fricative	v				ʒ	-	ɣ	ʕ	4/7	0.6396182661345401
periodicGlottalSource:-;loweredLarynxImplosive:-;category:affricate|plosive	p	ts	t		tɕ	kp	k	-	6/7	0.957641457028969
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s	θ		ʃ	-	x	ħ	6/7	0.994902127973976
	5/5	2/4	4/5	1/5	4/4	2/2	4/5	2/3
	1.0	0.804879048857699	0.9780447254356013	0.16295160841826856	1.0	1.0	0.9901042668512726	0.9865300961803996
