	labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0;round:0 | labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-;round:0	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:0	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:0	count	markedness_count
periodicGlottalSource:+		z		ʑ	ɣ	ʁ	4/6	0.9568895067300002
periodicGlottalSource:-	ɬ̪	s̪	ʂ	ɕ	x	χ	6/6	1.0
	1/2	2/2	1/2	2/2	2/2	2/2
	0.9924450692373395	1.0	0.7373178527116044	1.0	1.0	1.0
