	labiodental:0;strident:+;anterior:+;distributed:+;dorsal:-;round:0 | labiodental:0;strident:-,+;anterior:+;distributed:+;dorsal:-;round:0	labiodental:0;strident:+;anterior:-;distributed:-;dorsal:-;round:0	labiodental:0;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;round:0 | labiodental:0;strident:-,-,+;anterior:+;distributed:-,-,+;dorsal:-,-,+;round:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-	t̪s̪	ʈʂ	tɕ	3/3	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-	d̪z̪	ɖʐ	dʑ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:- | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-	t̪s̪ʰ	ʈʂʰ	tɕʰ	3/3	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,- | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-,-;nasal:+,-,-	n̪d̪z̪	ɳɖʐ	ndʑ	3/3	1.0
	4/4	4/4	4/4
	1.0	1.0	1.0
