	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;high:+;front:+;back:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+	labial:-;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;high:+;front:+;back:- | labial:-;coronal:+;lateral:-;strident:-,-,+;anterior:+;distributed:-,-,+;dorsal:-,-,+;high:+;front:+;back:- | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	p		t̪	t̪s̪	ʈʂ	c	k	q	tɕ	8/9	0.9997970374527557
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	b	-	d̪	d̪z̪	ɖʐ	ɟ	ɡ		dʑ	7/8	0.9794097048348773
periodicGlottalSource:+;category:fricative				z			ɣ	ʁ	ʑ	4/9	0.6183836888471556
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-;category:affricate	pʰ		t̪ʰ	t̪s̪ʰ	ʈʂʰ	cʰ	kʰ	qʰ	tɕʰ	8/9	0.9994513126980215
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-,-;nasal:+,-,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-,-;nasal:+,-,-;category:affricate	mb	-	n̪d̪	n̪d̪z̪	ɳɖʐ	ɲɟ	ŋɡ	ɴɢ	ndʑ	8/8	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		ɬ̪		s̪	ʂ		x	χ	ɕ	6/9	0.7371176516535437
	4/6	1/4	4/6	6/6	5/6	4/6	6/6	5/6	6/6
	0.7730307018256503	0.7919788292253983	0.8330183500272138	1.0	0.8765136900049605	0.9161152747914569	1.0	0.9280385938004329	1.0
