	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	β				1/4	0.26328267493000534
periodicGlottalSource:-	ɸ	s	x	xʷ	4/4	1.0
	2/2	1/2	1/2	1/2
	1.0	0.7903072196662834	0.7047720672108528	0.8258323940163383
