	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0;round:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;front:0;round:0 | labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0;round:0;lateral:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+;round:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	labial:-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,-,+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:+ | labial:-,+;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:+ | labial:-,-,+;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:+ | labial:-,+;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+;high:0;low:0;back:0 | labial:-,-,+;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:+;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive	p	t	c	k	kʷ	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive	b	d	ɟ	ɡ	ɡʷ	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	mb	nd	ɲɟ			3/5	0.674250489260047
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:plosive	ɓ	ɗ	ʄ		-	3/4	0.9199225884857495
periodicGlottalSource:+,-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	mp	nt	ɲc	ŋk	ŋkʷ	5/5	1.0
periodicGlottalSource:+;category:fricative	β					1/5	0.26739398123019376
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	ɸ	s		x	xʷ	4/5	0.9724275004179662
	7/7	6/7	5/7	4/7	4/6
	1.0	0.9150926346563378	0.8167724193431475	0.922852743640312	0.9423039259664056
