	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-,+	count	markedness_count
periodicGlottalSource:+	v		z	ʒ	ð͇ˠ	4/5	0.9197551299058999
periodicGlottalSource:-	f	θ	s	ʃ		4/5	0.9732144591109807
	2/2	1/2	2/2	2/2	1/2
	1.0	0.7308193874390416	1.0	1.0	0.26782286936692784
