	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;round:0	labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:+;front:+;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;front:-;round:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:+	sʰ		ɕʰ	xʰ	3/4	0.9808316854180998
periodicGlottalSource:+;spreadGlottis:-	z		ʑ	ɣ	3/4	0.9259924736453528
periodicGlottalSource:-;spreadGlottis:-	s	ʂ	ɕ	x	4/4	1.0
	3/3	1/3	3/3	3/3
	1.0	0.7683893854398719	1.0	1.0
