	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+ | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+			ʝ	1/3	0.34169582094106865
periodicGlottalSource:-	f	s	ʃ	3/3	1.0
	1/2	1/2	2/2
	0.6625210710769323	0.7917651840532136	1.0
