	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	p	t	t̠ʃ	k	4/4	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	b	d		ɡ	3/4	0.8838375292047927
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative	f		s		2/4	0.6995714393048739
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	ɱf			-	1/3	0.3649283996244805
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	nd		ŋɡ	3/4	0.8766321915796692
periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:affricate|plosive	mpʰ	ntʰ		ŋkʰ	3/4	0.8294552084163465
	6/6	4/6	2/6	4/5
	1.0	0.911918793134446	0.8696702376274533	0.8509733546531548
