	labial:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	s	2/2	1.0
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-	ɱf		1/2	0.3439758058276582
	2/2	1/2
	1.0	0.9996913463074131
