	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-,+	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-,+	count	markedness_count
spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+	tsʼ	-	t̠ʃʼ	t̠ʃˤʼ	3/3	1.0
spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-	tsʰ	tsˤʰ	t̠ʃʰ	t̠ʃˤʰ	4/4	1.0
	2/2	1/1	2/2	2/2
	1.0	1.0	1.0	1.0
