	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:-	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:-,+ | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:-,+	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:-,+	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;front:0;back:0;epilaryngealSource:-;retractedTongueRoot:-,+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;front:0;back:0;epilaryngealSource:+;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:-;distributed:+;dorsal:+;high:+;front:-;back:-;epilaryngealSource:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;epilaryngealSource:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;front:-,+;back:-;epilaryngealSource:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;epilaryngealSource:-;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	b	bˤ	d̪	d̪ˤ		-		-	-	-	ɡ	ɡʲ		6/9	0.835760459443677
periodicGlottalSource:+;category:fricative	v	vˤ			z	zˤ	ʒ	ʒˤ	-	-			ʁ	7/11	0.7745531596550053
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive						-			ʡ	-				1/11	0.0008630123536238485
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	-			s		ʃ		-	x̠				4/11	0.734617022691829
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;category:affricate|plosive	pʰ	pˤʰ	t̪ʰ	t̪ˤʰ	tsʰ	tsˤʰ	t̠ʃʰ	t̠ʃˤʰ	-	-	kʰ	kʲʰ	qʰ	11/11	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:+;raisedLarynxEjective:+;category:affricate|plosive	pʼ	-	t̪ʼ	t̪ˤʼ	tsʼ	-	t̠ʃʼ	t̠ʃˤʼ	-	-	kʼ	kʲʼ	qʼ	9/9	1.0
	5/6	3/4	3/6	3/6	4/6	2/3	4/6	3/5	1/1	1/1	3/6	3/6	3/6
	0.6332550843879428	0.9692822509048692	0.3575470654013229	0.7505501718080385	0.7583881946746928	0.6293029234524806	0.5452903016962241	0.9255818624620251	1.0	1.0	0.41757577305888477	0.516789812656947	0.3913508958203163
