	labiodental:0;strident:-;anterior:+;distributed:+;dorsal:-;round:0 | labiodental:0;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:+;anterior:-;distributed:-;dorsal:-;round:0	labiodental:0;strident:-;anterior:-;distributed:+;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	ð			1/3	0.849005007473986
periodicGlottalSource:-	s	ʂ	ç	3/3	1.0
	2/2	1/2	1/2
	1.0	0.7852344022042395	0.7390282739435193
