	labial:+;coronal:-;distributed:0;dorsal:-;front:0;round:-	labial:-;coronal:+;distributed:+;dorsal:-;front:0;round:0	labial:-;coronal:+;distributed:-;dorsal:-,+;front:+;round:0	labial:-;coronal:-;distributed:0;dorsal:+;front:-;round:0	labial:-,+;coronal:-;distributed:0;dorsal:+;front:-;round:+	count	markedness_count
periodicGlottalSource:+	b	d̪	dʲ	ɡ	ɡʷ	5/5	1.0
periodicGlottalSource:-	p	t̪	tʲ	k	kʷ	5/5	1.0
	2/2	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0	1.0
