	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0;round:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:+;strident:+,-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:+;strident:+,-;anterior:-,+;distributed:+,-;dorsal:-;high:0;back:0;round:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	dz	-	d̠ʒ	-	ɡ	ɡʷ			6/8	0.9820442397934913
periodicGlottalSource:+;category:fricative				-		-			ʁ	ʁʷ	2/8	0.09592532036751618
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	st	t̠ʃ	ʃt	k	kʷ	q	qʷ	10/10	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	-	ʃ	-					3/8	0.6725975701099552
	3/4	2/4	3/4	1/1	3/4	1/1	2/4	2/4	2/4	2/4
	0.9241790684885567	0.9036894656578184	0.8739150334340746	1.0	0.9236936179361749	1.0	0.8598678076230013	0.8117901214674031	0.6672229522807662	0.596625975047548
