	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0	labial:-,+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:+;round:+	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;round:0 | labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0;strident:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+			ʁʷ	ʁ	2/4	0.5240628730510078
periodicGlottalSource:-	f	s		ʃ	3/4	0.965282164602868
	1/2	1/2	1/2	2/2
	0.7610533045600901	0.7931118804251478	0.17416760598366177	1.0
