	labiodental:0;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;strident:+,-;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;strident:+,-;anterior:-,+;distributed:+,-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+	dz	-	d̠ʒ	-	2/2	1.0
periodicGlottalSource:-	ts	st	t̠ʃ	ʃt	4/4	1.0
	2/2	1/1	2/2	1/1
	1.0	1.0	1.0	1.0
