	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d̪|d	ɡ	3/3	1.0
periodicGlottalSource:-		t̪|t	k	2/3	0.608823628169914
	1/2	2/2	2/2
	0.35307331597901326	1.0	1.0
