	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+ | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:0,-,+;front:+ | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:+ | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:0,-,+;front:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-,+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:0,-,+;front:+	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-,+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:0,-,+;front:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-,+ | labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:0,-,+	labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;front:+ | labial:-;labiodental:0;coronal:+;strident:0,-,+;anterior:+;distributed:0,-,+;dorsal:0,-,+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d	dz		bʲ	dʲ	dzʲ	ɟ	ɡ	ɡʲ	dʑ	10/11	0.9912291848772716
periodicGlottalSource:-;spreadGlottis:-;DEVOICED:+;category:affricate|plosive			d̥z̥		-		d̥z̥ʲ			-	d̥ʑ̥	3/9	0.16743383306165097
periodicGlottalSource:+;category:fricative	β		z	ʐ	βʲ		zʲ	ʝ			ʑ	7/11	0.7115060176694041
periodicGlottalSource:-;spreadGlottis:+,-;category:plosive | periodicGlottalSource:-;spreadGlottis:+,-;category:affricate | periodicGlottalSource:-;spreadGlottis:+,-,-;category:plosive | periodicGlottalSource:-;spreadGlottis:+,-,-;category:affricate	ʰp	ʰt	ʰts	-	ʰpʲ	ʰtʲ	ʰtsʲ		ʰk	ʰkʲ	ʰtɕ	9/10	0.8276002261992651
periodicGlottalSource:-;spreadGlottis:-;DEVOICED:-;category:affricate|plosive	p	t	ts		pʲ	tʲ	tsʲ	c	k	kʲ	tɕ	10/11	0.9844437697536124
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʂ	fʲ		sʲ	ç	x	xʲ	ɕ	9/11	0.8973483296363403
	5/6	3/6	6/6	2/5	5/5	3/6	6/6	4/6	4/6	4/5	6/6
	0.9986290142693028	0.8918532602953669	1.0	0.5943639108180973	1.0	0.8787633364488958	1.0	0.9928494424738655	0.9386504890681887	0.9523685226058253	1.0
