	labiodental:0;coronal:+;dorsal:-;round:0	labiodental:0;coronal:-;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	d̠ʒ	ɢʁ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:+	t̠ʃʰ		1/2	0.955820794920652
	2/2	1/2
	1.0	0.6175473215520192
