name,glottocode
Mono,mono1275
Northern_Paiute,nort2954
Pannamint,pana1305
Shoshoni_Gosiute_Dialect,gosi1242
Comanche,coma1245
Kawaiisu,kawa1283
Chemehuevi,chem1251
Southern_Paiute,sout2969
Southern_Ute,utee1244
Tubatulabel,tuba1278
Serrano,serr1255
Cahuilla,cahu1264
Cupeno,cupe1243
Luiseno,luis1253
Gabrielino,tong1329
Hopi,hopi1249
Papago-Pima,toho1245
Pima_de_Onavas,pima1248
Northern_Tepehuan,nort2959
Opata,opat1246
Eudeve,eude1234
Guarijio,huar1255
Tarahumara,cent2131
Tubar,tuba1279
Mayo,mayo1264
Yaqui,yaqu1251
Cora,elna1235
Huichol,huic1243
Classical_Aztec,clas1250
Aztec_Tetelcingo,tete1251
Aztec_Zacapoaxtla,high1278
Pipil,pipi1250
Southeastern_Tepehuan,sout2976
Kitanemuk,kita1252
Kiowa,kiow1266
San_Juan_Pueblo_Tewa,sanj1276
